# Area_m2, Area_in2
5.067074790974976893e-04,7.853981633974482790e-01
5.041739417020102204e-04,7.814711725804610598e-01
5.016404043065228599e-04,7.775441817634740627e-01
4.991068669110353909e-04,7.736171909464868435e-01
4.965733295155479220e-04,7.696902001294996243e-01
4.940397921200604531e-04,7.657632093125124051e-01
4.915062547245729841e-04,7.618362184955251859e-01
4.889727173290855152e-04,7.579092276785379667e-01
4.864391799335979921e-04,7.539822368615506365e-01
4.839056425381105231e-04,7.500552460445634173e-01
4.813721051426230542e-04,7.461282552275763091e-01
4.788385677471355853e-04,7.422012644105890899e-01
4.763050303516481163e-04,7.382742735936018708e-01
4.737714929561607016e-04,7.343472827766147626e-01
4.712379555606732327e-04,7.304202919596275434e-01
4.687044181651857638e-04,7.264933011426403242e-01
4.661708807696982948e-04,7.225663103256531050e-01
4.636373433742108259e-04,7.186393195086658858e-01
4.611038059787233570e-04,7.147123286916786666e-01
4.585702685832358880e-04,7.107853378746914474e-01
4.560367311877484191e-04,7.068583470577042283e-01
4.535031937922609502e-04,7.029313562407170091e-01
4.509696563967734812e-04,6.990043654237297899e-01
4.484361190012860123e-04,6.950773746067425707e-01
4.459025816057985434e-04,6.911503837897553515e-01
4.433690442103110745e-04,6.872233929727681323e-01
4.408355068148236055e-04,6.832964021557809131e-01
4.383019694193361366e-04,6.793694113387938049e-01
4.357684320238486677e-04,6.754424205218065858e-01
4.332348946283611987e-04,6.715154297048193666e-01
4.307013572328737298e-04,6.675884388878321474e-01
4.281678198373862609e-04,6.636614480708449282e-01
4.256342824418987919e-04,6.597344572538577090e-01
4.231007450464113772e-04,6.558074664368706008e-01
4.205672076509239083e-04,6.518804756198833816e-01
4.180336702554364394e-04,6.479534848028961624e-01
4.155001328599489704e-04,6.440264939859089433e-01
4.129665954644615015e-04,6.400995031689217241e-01
4.104330580689740326e-04,6.361725123519345049e-01
4.078995206734865636e-04,6.322455215349472857e-01
4.053659832779990947e-04,6.283185307179600665e-01
4.028324458825116258e-04,6.243915399009728473e-01
4.002989084870241568e-04,6.204645490839856281e-01
3.977653710915366879e-04,6.165375582669984089e-01
3.952318336960492190e-04,6.126105674500113007e-01
3.926982963005617500e-04,6.086835766330240816e-01
3.901647589050742811e-04,6.047565858160368624e-01
3.876312215095868122e-04,6.008295949990496432e-01
3.850976841140993433e-04,5.969026041820624240e-01
3.825641467186118743e-04,5.929756133650752048e-01
3.800306093231244054e-04,5.890486225480879856e-01
3.774970719276369365e-04,5.851216317311007664e-01
3.749635345321494675e-04,5.811946409141135472e-01
3.724299971366619986e-04,5.772676500971263280e-01
3.698964597411745839e-04,5.733406592801392199e-01
3.673629223456871149e-04,5.694136684631520007e-01
3.648293849501996460e-04,5.654866776461647815e-01
3.622958475547121771e-04,5.615596868291775623e-01
3.597623101592247082e-04,5.576326960121903431e-01
3.572287727637372392e-04,5.537057051952031239e-01
3.546952353682497703e-04,5.497787143782159047e-01
3.521616979727623014e-04,5.458517235612286855e-01
3.496281605772748324e-04,5.419247327442415774e-01
3.470946231817873635e-04,5.379977419272543582e-01
3.445610857862998946e-04,5.340707511102671390e-01
3.420275483908124256e-04,5.301437602932799198e-01
3.394940109953249567e-04,5.262167694762927006e-01
3.369604735998374878e-04,5.222897786593054814e-01
3.344269362043500188e-04,5.183627878423182622e-01
3.318933988088625499e-04,5.144357970253310430e-01
3.293598614133750810e-04,5.105088062083438238e-01
3.268263240178876121e-04,5.065818153913566046e-01
3.242927866224001431e-04,5.026548245743693855e-01
3.217592492269126742e-04,4.987278337573822218e-01
3.192257118314252595e-04,4.948008429403950581e-01
3.166921744359377905e-04,4.908738521234078944e-01
3.141586370404503216e-04,4.869468613064206752e-01
3.116250996449628527e-04,4.830198704894334560e-01
3.090915622494753837e-04,4.790928796724462368e-01
3.065580248539879148e-04,4.751658888554590177e-01
3.040244874585004459e-04,4.712388980384717985e-01
3.014909500630129770e-04,4.673119072214845793e-01
2.989574126675255080e-04,4.633849164044974156e-01
2.964238752720380391e-04,4.594579255875101964e-01
2.938903378765505702e-04,4.555309347705229772e-01
2.913568004810630470e-04,4.516039439535356470e-01
2.888232630855755781e-04,4.476769531365484833e-01
2.862897256900880549e-04,4.437499623195611531e-01
2.837561882946005860e-04,4.398229715025739339e-01
2.812226508991130629e-04,4.358959806855866592e-01
2.786891135036255939e-04,4.319689898685994400e-01
2.761555761081380708e-04,4.280419990516121653e-01
2.736220387126506019e-04,4.241150082346249461e-01
2.710885013171630787e-04,4.201880174176376714e-01
2.685549639216755556e-04,4.162610266006503412e-01
2.660214265261880867e-04,4.123340357836631220e-01
2.634878891307005635e-04,4.084070449666758473e-01
2.609543517352130946e-04,4.044800541496886281e-01
2.584208143397255714e-04,4.005530633327013534e-01
2.558872769442381025e-04,3.966260725157141342e-01
2.533537395487505794e-04,3.926990816987268595e-01
2.508202021532631104e-04,3.887720908817396404e-01
2.482866647577755873e-04,3.848451000647523101e-01
2.457531273622881184e-04,3.809181092477650910e-01
2.432195899668005952e-04,3.769911184307778163e-01
2.406860525713130992e-04,3.730641276137905415e-01
2.381525151758256032e-04,3.691371367968033224e-01
2.356189777803381071e-04,3.652101459798160477e-01
2.330854403848506111e-04,3.612831551628288285e-01
2.305519029893630879e-04,3.573561643458414983e-01
2.280183655938755919e-04,3.534291735288542791e-01
2.254848281983880959e-04,3.495021827118670044e-01
2.229512908029005998e-04,3.455751918948797297e-01
2.204177534074131038e-04,3.416482010778925105e-01
2.178842160119256078e-04,3.377212102609052358e-01
2.153506786164381117e-04,3.337942194439180166e-01
2.128171412209506157e-04,3.298672286269307419e-01
2.102836038254631197e-04,3.259402378099434672e-01
2.077500664299756236e-04,3.220132469929562480e-01
2.052165290344881005e-04,3.180862561759689178e-01
2.026829916390006044e-04,3.141592653589816986e-01
2.001494542435131084e-04,3.102322745419944239e-01
1.976159168480256124e-04,3.063052837250072047e-01
1.950823794525381163e-04,3.023782929080199300e-01
1.925488420570506203e-04,2.984513020910326553e-01
1.900153046615631243e-04,2.945243112740454361e-01
1.874817672660756282e-04,2.905973204570581614e-01
1.849482298705881322e-04,2.866703296400708867e-01
1.824146924751006362e-04,2.827433388230836675e-01
1.798811550796131130e-04,2.788163480060963373e-01
1.773476176841256170e-04,2.748893571891091181e-01
1.748140802886381209e-04,2.709623663721218434e-01
1.722805428931506249e-04,2.670353755551346242e-01
1.697470054976631289e-04,2.631083847381473495e-01
1.672134681021756328e-04,2.591813939211600748e-01
1.646799307066881368e-04,2.552544031041728556e-01
1.621463933112006408e-04,2.513274122871855809e-01
1.596128559157131447e-04,2.474004214701983340e-01
1.570793185202256487e-04,2.434734306532110870e-01
1.545457811247381256e-04,2.395464398362237846e-01
1.520122437292506295e-04,2.356194490192365376e-01
1.494787063337631335e-04,2.316924582022492907e-01
1.469451689382756374e-04,2.277654673852620160e-01
1.444116315427881685e-04,2.238384765682748245e-01
1.418780941473006725e-04,2.199114857512875776e-01
1.393445567518132035e-04,2.159844949343003584e-01
1.368110193563257075e-04,2.120575041173131114e-01
1.342774819608382386e-04,2.081305133003258923e-01
1.317439445653507425e-04,2.042035224833386453e-01
1.292104071698632736e-04,2.002765316663514261e-01
1.266768697743757776e-04,1.963495408493641792e-01
1.241433323788883086e-04,1.924225500323769600e-01
1.216097949834008126e-04,1.884955592153897130e-01
1.190762575879133301e-04,1.845685683984024661e-01
1.165427201924258476e-04,1.806415775814152469e-01
1.140091827969383652e-04,1.767145867644280000e-01
1.114756454014508827e-04,1.727875959474407808e-01
1.089421080059634002e-04,1.688606051304535338e-01
1.064085706104759177e-04,1.649336143134663146e-01
1.038750332149884352e-04,1.610066234964790954e-01
1.013414958195009527e-04,1.570796326794918485e-01
9.880795842401347026e-05,1.531526418625046293e-01
9.627442102852598778e-05,1.492256510455173824e-01
9.374088363303850530e-05,1.452986602285301632e-01
9.120734623755102281e-05,1.413716694115429162e-01
8.867380884206354033e-05,1.374446785945556970e-01
8.614027144657605784e-05,1.335176877775684501e-01
8.360673405108857536e-05,1.295906969605812309e-01
8.107319665560109288e-05,1.256637061435939839e-01
7.853965926011361039e-05,1.217367153266067648e-01
7.600612186462612791e-05,1.178097245096195317e-01
7.347258446913864543e-05,1.138827336926322986e-01
7.093904707365116294e-05,1.099557428756450655e-01
6.840550967816366691e-05,1.060287520586578047e-01
6.587197228267617087e-05,1.021017612416705578e-01
6.333843488718868839e-05,9.817477042468332471e-02
6.080489749170119913e-05,9.424777960769607776e-02
5.827136009621370309e-05,9.032078879070883082e-02
5.573782270072621383e-05,8.639379797372158387e-02
5.320428530523872457e-05,8.246680715673435080e-02
5.067074790975123531e-05,7.853981633974710386e-02
4.813721051426373928e-05,7.461282552275984303e-02
4.560367311877625002e-05,7.068583470577260996e-02
4.307013572328876076e-05,6.675884388878536302e-02
4.053659832780127150e-05,6.283185307179811607e-02
3.800306093231378224e-05,5.890486225481087607e-02
3.546952353682628620e-05,5.497787143782362218e-02
3.293598614133879694e-05,5.105088062083638217e-02
3.040244874585130768e-05,4.712388980384914217e-02
