# Accessed: 2026-03-02_03-12-37 (format: YYYY-MM-DD_HH-MM-SS)
# Accessed by: vehicle_main.py
parameter_name,value
yield_FoS,1.5
ultimate_FoS,2.0
proof_factor,1.5
fuel_name,isopropyl alcohol
oxidizer_name,oxygen
pressurant_name,nitrogen
tube_outer_diameter,0.15239999999999998
tube_inner_diameter,0.14604999999999999
engine_efficiency,0.81
chamber_pressure,1723690.0
jet_thrust,2971.4112869146697
ISP,175.0
OF_ratio,1.0
total_core_mass_flow_rate,1.73272144
oxidizer_mass_flow_rate,0.86636072
core_fuel_mass_flow_rate,0.86636072
film_percentage,0.3
film_fuel_mass_flow_rate,0.25990821599999997
total_fuel_mass_flow_rate,1.126268936
burn_time,2.09
contraction_ratio,7.0
exit_pressure,103421.40000000001
chamber_outer_diameter,0.15239999999999998
chamber_inner_diameter,0.12446
chamber_throat_diameter,0.0470408
maximum_expected_burn_time,3.3962499999999998
maximum_expected_jet_thrust,3668.40899619095
nominal_tank_pressure,2930273.0
largest_possible_tank_pressure,4309225.0
oxidizer_tank_pressure,2930273.0
fuel_tank_pressure,2930273.0
tank_outer_diameter,0.15239999999999998
tank_inner_diameter,0.14604999999999999
tank_wall_thickness,0.0031749999999999973
fuel_tank_length,0.15239999999999998
fuel_tank_usable_volume,0.0025499999999999997
fuel_total_mass,2.00487664
fuel_used_mass,1.8106939048
fuel_residual_mass,0.19418273520000007
oxidizer_tank_length,0.11582399999999998
oxidizer_tank_usable_volume,0.0019399999999999999
oxidizer_total_mass,2.00487664
oxidizer_used_mass,1.8106939048
oxidizer_residual_mass,0.19418273520000007
total_propellant_mass,4.00975328
total_used_propellant_mass,3.6213878096
total_residual_mass,0.38836547040000013
engine_length,0.2585466
injector_length,0.025654
lower_length,0.508
tank_bulkhead_length,0.030987999999999998
mid_length,0.127
upper_length,0.8382
recovery_bay_length,0.762
nosecone_length,0.381
COPV_volume,0.0047
COPV_starting_pressure,29647468.0
root_chord,0.4064
tip_chord,0.15239999999999998
sweep_length,0.254
wingspan,0.18796
number_of_fins,3
fin_top,0.6906006
one_DoF_off_the_rail_TWR,7.43
one_DoF_off_the_rail_acceleration,63.0783
one_DoF_off_the_rail_velocity,27.64
one_DoF_max_Q_acceleration,68.2776
one_DoF_max_Q_mach,0.395
one_DoF_max_Q_velocity,135.485
one_DoF_total_impulse,6340
one_DoF_estimated_apogee,819.9119737628168
six_DoF_off_the_rail_TWR,
six_DoF_off_the_rail_acceleration,
six_DoF_off_the_rail_velocity,
six_DoF_max_Q_acceleration,69.18023241510897
six_DoF_max_Q_mach,0.6838396580745815
six_DoF_max_Q_velocity,234.55700271958145
six_DoF_max_Q_horizontal_velocity,27.648870276820887
six_DoF_apogee_horizontal_velocity,24.731579716635913
six_DoF_total_impulse,
six_DoF_estimated_apogee,2832.4602936803985
wet_mass,47.46566454214227
dry_mass,43.844276732542276
total_length,3.2925766000000003
dry_COM_location_from_bottom,1.2039917815354115
dry_COM_location_from_top,2.0885848184645885
wet_COM_location_from_bottom,1.1930636876171796
wet_COM_location_from_top,2.0995129123828207
upper_strut_max_load,1486.1352912491293
mid_strut_max_load,1273.49835203107
lower_strut_max_load,957.1219538631241
fuel_tank_max_load,1069.939678134213
oxygen_tank_max_load,865.0611911194749
copv_tube_max_load,998.5226496807065
parachute_mass,1.30124205
