# Accessed: 2026-02-04_10-16-04 (format: YYYY-MM-DD_HH-MM-SS)
# Accessed by: Actuator Sizing/dynamicthrust1dof.py
parameter_name,value
yield_FOS,1.5
ultimate_FOS,2.0
proof_factor,1.5
fuel_name,isopropyl alcohol
oxidizer_name,liquid oxygen
tube_outer_diameter,0.15239999999999998
tube_inner_diameter,0.14604999999999999
chamber_pressure,1723690.0
jet_thrust,2971.4112869146697
ISP,175.0
OF_ratio,1.0
total_mass_flow_rate,1.73272144
oxidizer_mass_flow_rate,0.86636072
fuel_mass_flow_rate,0.86636072
burn_time,2.09
contraction_ratio,7.0
exit_pressure,103421.40000000001
chamber_outer_diameter,0.15239999999999998
chamber_inner_diameter,0.12446
chamber_throat_diameter,0.0470408
tank_pressure,2930273.0
tank_outer_diameter,0.15239999999999998
tank_inner_diameter,0.14604999999999999
tank_wall_thickness,0.0031749999999999973
fuel_tank_length,0.15239999999999998
fuel_tank_usable_volume,0.0025499999999999997
fuel_total_mass,2.00487664
fuel_used_mass,1.8106939048
fuel_residual_mass,0.19418273520000007
oxidizer_tank_length,0.11582399999999998
oxidizer_tank_usable_volume,0.0019399999999999999
oxidizer_total_mass,2.00487664
oxidizer_used_mass,1.8106939048
oxidizer_residual_mass,0.19418273520000007
total_propellant_mass,4.00975328
total_used_propellant_mass,3.6213878096
total_residual_mass,0.38836547040000013
COPV_volume,0.0047
COPV_starting_pressure,29647468.0
one_DoF_off_the_rail_TWR,7.43
one_DoF_off_the_rail_acceleration,6.43
one_DoF_off_the_rail_velocity,27.64
one_DoF_max_acceleration,6.96
one_DoF_max_mach,0.395
one_DoF_max_velocity,135.485
one_DoF_total_impulse,6340
one_DoF_estimated_apogee,819.9119737628168
six_DoF_off_the_rail_acceleration,5.939245667686035
six_DoF_off_the_rail_velocity,28.7
six_DoF_max_mach,0.368
six_DoF_max_velocity,126.224
six_DoF_estimated_apogee,747.6
wet_mass,35.493690833847005
dry_mass,31.872303024247007
total_length,2.9233876
dry_COM_location_from_bottom,1.1553211098912488
dry_COM_location_from_top,1.768066490108751
wet_COM_location_from_bottom,1.1444105829658153
wet_COM_location_from_top,1.7789770170341845
