# Accessed: 2026-02-17_03-16-01 (format: YYYY-MM-DD_HH-MM-SS)
# Accessed by: main.py
parameter_name,value
engine,"MassComponent(name='engine', mass=5.28888272, length=0.2585466, bottom_distance_from_aft=0.0, top_distance_from_aft=0.2585466)"
injector,"MassComponent(name='injector', mass=4.073256160000001, length=0.025654, bottom_distance_from_aft=0.2585466, top_distance_from_aft=0.2842006)"
lower,"MassComponent(name='lower', mass=6.473715436833135, length=0.508, bottom_distance_from_aft=0.2842006, top_distance_from_aft=0.7922006)"
lower_fuel_bulkhead,"MassComponent(name='lower_fuel_bulkhead', mass=0.8940298320000001, length=0.030987999999999998, bottom_distance_from_aft=0.7922006, top_distance_from_aft=0.8231886)"
fuel_tank,"MassComponent(name='wet_fuel_tank', mass=2.617345370903426, length=0.15239999999999998, bottom_distance_from_aft=0.8231886, top_distance_from_aft=0.9755886)"
upper_fuel_bulkhead,"MassComponent(name='upper_fuel_bulkhead', mass=0.8940298320000001, length=0.030987999999999998, bottom_distance_from_aft=0.9755886, top_distance_from_aft=1.0065766)"
mid,"MassComponent(name='mid', mass=0.0831219974082838, length=0.127, bottom_distance_from_aft=1.0065766, top_distance_from_aft=1.1335766)"
lower_oxidizer_bulkhead,"MassComponent(name='lower_oxidizer_bulkhead', mass=0.8940298320000001, length=0.030987999999999998, bottom_distance_from_aft=1.1335766, top_distance_from_aft=1.1645646)"
oxidizer_tank,"MassComponent(name='wet_oxidizer_tank', mass=2.4703528754866033, length=0.11582399999999998, bottom_distance_from_aft=1.1645646, top_distance_from_aft=1.2803886)"
upper_oxidizer_bulkhead,"MassComponent(name='upper_oxidizer_bulkhead', mass=0.8940298320000001, length=0.030987999999999998, bottom_distance_from_aft=1.2803886, top_distance_from_aft=1.3113766)"
upper,"MassComponent(name='upper', mass=7.4685780199688425, length=0.8382, bottom_distance_from_aft=1.3113766, top_distance_from_aft=2.1495766)"
recovery_bay,"MassComponent(name='recovery_bay', mass=1.519313984449703, length=0.762, bottom_distance_from_aft=2.1495766, top_distance_from_aft=2.9115766)"
nosecone,"MassComponent(name='nosecone', mass=4.785285992224852, length=0.381, bottom_distance_from_aft=2.9115766, top_distance_from_aft=3.2925766000000003)"
